name,ratings,location1,location2,est. bill amt.,cuisine1,cuisine2,cuisine3
Vintage Asia,4.4,"JW Marriott Hotel Kolkata,",JBS Haldane Avenue,"3,200 for 2 (approx)",Asian,Cantonese,Tibetan
ROSK,3.8,Park Street,Central Kolkata,"1,800 for 2 (approx)",North Indian,Chinese,Continental
Hard Rock Cafe,4.4,"Park Mansion,",Park Street,"2,500 for 2 (approx)",American,Continental,North Indian
Carpe Diem,4.4,Park Street,Central Kolkata,"2,300 for 2 (approx)",Italian,North Indian,Chinese
Aqua,4.1,"The Park Hotel,",Park Street,"3,500 for 2 (approx)",Finger Food,Continental,North Indian
21 PLUS,4.0,Park Street,Central Kolkata,"1,000 for 2 (approx)",Fast Food,North Indian,Chinese
The Bridge,4.1,"The Park Hotel,",Park Street,"2,500 for 2 (approx)",Continental,North Indian,Asian
The Other Room by Trincas,4.1,Park Street,Central Kolkata,900 for 2 (approx),Chinese,Continental,Asian
Moti Mahal Delux,4.4,"Park Center Building,",Park Street,"1,500 for 2 (approx)",Chinese,North Indian,Mughlai
Aatithya,4.0,Lake Town,East Kolkata,600 for 2 (approx),Chinese,Seafood,Bengali
Effingut,4.3,Park Street,Central Kolkata,"2,400 for 2 (approx)",Continental,North Indian,Biryani
Trapeze,4.2,Park Street,Central Kolkata,"2,200 for 2 (approx)",North Indian,Asian,Finger Food
Tavern behind Trincas,4.0,Park Street,Central Kolkata,"1,100 for 2 (approx)",North Indian,Chinese,Continental
Hammer,4.3,Park Street,Central Kolkata,"1,200 for 2 (approx)",Continental,North Indian,Mexican
Don Giovanni's Good Fellas,3.9,"Park Mansion,",Park Street,"1,400 for 2 (approx)",Continental,North Indian,Asian
Magnolia,4.1,Park Street,Central Kolkata,"1,200 for 2 (approx)",Chinese,Continental,North Indian
Please Don't Talk,4.3,Ho Chi Minh Sarani,Central Kolkata,"1,500 for 2 (approx)",Italian,Lebanese,North Indian
The GT Route,4.2,"Jameson Inn,",Park Street,900 for 2 (approx),North Indian,Bengali,Awadhi
Ping's Cafe Orient,4.4,Park Street,Central Kolkata,"1,300 for 2 (approx)",Chinese,Thai,Asian
Moulin Rouge,3.9,Park Street,Central Kolkata,"1,800 for 2 (approx)",Finger Food,Chinese,North Indian
Little Roti,4.3,Park Street,Central Kolkata,700 for 2 (approx),North Indian,South Indian,Fast Food
Hit Wicket,3.7,Salt Lake,East Kolkata,800 for 2 (approx),North Indian,Continental,Chinese
Octa,4.2,Park Street,Central Kolkata,"1,100 for 2 (approx)",Sushi,Korean,Japanese
Oudh 1590,3.9,Lake Town,East Kolkata,"1,400 for 2 (approx)",Mughlai,Biryani,Awadhi
1000 BC,4.2,Park Street,Central Kolkata,"1,200 for 2 (approx)",Italian,North Indian,Mexican
Sabka Club,4.4,"Haute Street Corporate Park,",Topsia,"2,200 for 2 (approx)",Chinese,North Indian,Asian
Bahula,4.4,Topsia,East Kolkata,"1,300 for 2 (approx)",North Indian,Chinese,Asian
NX Lounge,4.4,"Metropolitan Co-Operative Housing Society Limited,",Tangra,"1,900 for 2 (approx)",Italian,Asian,Continental
Barista Coffee,3.8,Park Street,Central Kolkata,500 for 2 (approx),Beverages,Desserts,Fast Food
The Burger Factory,3.7,Tangra,East Kolkata,700 for 2 (approx),Fast Food,North Indian,Chinese
Roll It Out,4.1,Park Street,Central Kolkata,600 for 2 (approx),Chinese,Fast Food,Beverages
I Love Haldiram,4.0,Russel Street,South Kolkata,400 for 2 (approx),Street Food,Chinese,Fast Food
Shiraz@56,3.9,"Jameson Inn,",Park Street,"1,200 for 2 (approx)",Continental,North Indian,Chinese
La Shivaaz,3.9,"Hotel Shivam,",Howrah,"1,200 for 2 (approx)",Chinese,North Indian,Awadhi
The Burger Factory,3.6,Park Street,Central Kolkata,700 for 2 (approx),Fast Food,North Indian,Chinese
Badmaash,3.7,Park Street,Central Kolkata,"1,800 for 2 (approx)",North Indian,Continental,Mughlai
Level Seven,4.1,Topsia,East Kolkata,"2,600 for 2 (approx)",North Indian,Chinese,Italian
LMNOQ,3.7,Park Street,Central Kolkata,"1,400 for 2 (approx)",Chinese,North Indian,Italian
Sharma Tea,4.3,Salt Lake,East Kolkata,350 for 2 (approx),Street Food,Beverages,Tea
TFO - The Factory Outlet,4.3,"Westside Building,",Camac Street,"1,600 for 2 (approx)",Italian,Mexican,Continental
The Scoop of Happiness,4.0,Salt Lake,East Kolkata,500 for 2 (approx),Chinese,North Indian,Fast Food
Sam's Pub,3.5,Park Street,Central Kolkata,"1,200 for 2 (approx)",Chinese,North Indian,Continental
Floriana,3.5,Park Street,Central Kolkata,"1,200 for 2 (approx)",Chinese,North Indian,Continental
Terminal 11,4.3,Salt Lake,East Kolkata,"1,500 for 2 (approx)",Continental,Health Food,Beverages
One Bottle Down,3.9,Camac Street,Central Kolkata,"2,200 for 2 (approx)",Finger Food,North Indian,Chinese
Scarlet,3.9,"Aauris,",Shakespeare Sarani,800 for 2 (approx),American,Italian,Fast Food
